element_index,prebuilt_scenario,Revit model,Revit category,Revit type,Revit family name,Revit material name,Revit building element,Cumulative material volume (m3),Tally Entry Division,Tally Entry Category,Tally Entry Name,Material Group,Material Name,Life Cycle Stage,Service Life,Acidification Potential Total (kgSO2eq),Eutrophication Potential Total (kgNeq),Global Warming Potential Total (kgCO2eq),Ozone Depletion Potential Total (CFC-11eq),Smog Formation Potential Total (kgO3eq),Primary Energy Demand Total (MJ),Non-renewable Energy Demand Total (MJ),Renewable Energy Demand Total (MJ),Mass Total (kg)
Element_14,regional_mix,tm_2_dummy,Floors,Floor,SOG Floor Insulation,Rigid insulation,Substructure,0.0,07 - Thermal and Moisture Protection,Insulation,"Expanded polystyrene (EPS), board",Insulation,"Expanded polystyrene (EPS), board",[C2-C4] End of Life,60,0.1114687,0.042502454,7.05701124,1.3e-12,0.93505399,120.9315108,113.0725665,7.97121497,
Element_15,regional_mix,tm_2_dummy,Structural Columns,FamilyInstance,Glulam-Western Species-Column: 18x18,"Softwood, Lumber",Superstructure,77.95539377,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[C2-C4] End of Life,60,185.6512536,48.28597628,48285.97628,3.88e-10,624.3876242,26390.78358,24809.0016,1569.294229,
Element_16,regional_mix,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,16.08947504,0.815903434,7086.402668,6.4e-10,320.0310882,59610.18622,55741.67856,3938.844164,
Element_17,regional_mix,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.154768558,0.007839916,33.4909008,6.18e-12,3.06999924,573.4048168,535.346975,37.80412288,
Element_18,regional_mix,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 84 x 84 x 24,"Concrete, Cast-in-Place gray",Substructure,55.50101932,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,11.26263253,0.571132404,4960.481868,4.48e-10,224.0217618,41727.13036,39019.175,2757.190914,
Element_19,regional_mix,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 84 x 84 x 24,"Concrete, Cast-in-Place gray",Substructure,55.50101932,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.10833799,0.005487942,23.44363056,4.32e-12,2.148999468,401.3833718,374.7428826,26.46288602,
Element_20,regional_mix,tm_2_dummy,Structural Framing,FamilyInstance,Glulam-Southern Pine: 10.75x31.5,"Softwood, Lumber",Superstructure,495.8232367,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[C2-C4] End of Life,60,1180.806112,307.1154912,307115.4912,2.46e-09,3971.321006,167854.5012,157793.8213,9981.25346,
Element_21,regional_mix,tm_2_dummy,Structural Framing,FamilyInstance,Glulam-Southern Pine: 14.25x33,"Softwood, Lumber",Superstructure,210.3742599,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[C2-C4] End of Life,60,501.0076044,130.3069105,130306.9105,1.05e-09,1685.003153,71219.46662,66950.79196,4234.974592,
Element_22,regional_mix,tm_2_dummy,Walls,Wall,Concrete - 16,"Concrete, Cast-in-Place gray",Enclosure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 6000 psi",Concrete,"Structural concrete, 6000 psi, Pacific Southwest regional average",[C2-C4] End of Life,60,59.79142226,3.032045894,26334.36412,2.38e-09,1189.293863,221522.3186,207146.239,14637.46294,
Element_23,regional_mix,tm_2_dummy,Walls,Wall,Concrete - 16,"Concrete, Cast-in-Place gray",Enclosure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 6000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,4.725690618,0.239383344,1022.608461,1.88e-10,93.73910896,17508.29638,16346.24131,1154.308036,
Element_24,regional_mix,tm_2_dummy,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0.0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Aluminum, sheet",[C2-C4] End of Life,60,0.030067528,0.001518116,6.485153004,1.19e-12,0.595454958,111.1319401,103.762448,7.34001408,
Element_25,regional_mix,tm_2_dummy,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0.0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal Coating,"Powder coating, metal stock",[C2-C4] End of Life,60,0.148494122,0.007534432,32.18591804,5.92e-12,2.947937492,551.5495954,515.7061866,36.35545742,
Element_26,regional_mix,tm_2_dummy,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0.0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Insulation,Polyurethane foam (PUR) rigid board,[C2-C4] End of Life,60,1.589309122,0.605995564,100.6181314,1.85e-11,13.33190242,1724.228889,1612.176879,113.652753,
Element_27,regional_mix,tm_2_dummy,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0.0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Steel, sheet",[C2-C4] End of Life,60,0.024667926,0.00125247,5.327763408,9.8e-13,0.488908122,91.55106574,85.19335284,6.027111828,
Element_28,regional_mix,tm_2_dummy,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0.0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Fasteners, stainless steel",[C2-C4] End of Life,60,0.00671778,0.000340016,1.450842152,2.68e-13,0.133200184,24.92345448,23.27289458,1.6423071,
Element_29,regional_mix,tm_2_dummy,Walls,Wall,Generic - 5,Gypsum Sheathing,Enclosure,0.0,09 - Finishes,Plaster and gypsum board,Fiberglass mat gypsum sheathing,Plaster,Fiberglass mat gypsum sheathing board,[C2-C4] End of Life,60,3.731390754,0.189326724,808.7743504,1.49e-10,74.07637802,13859.45137,12958.77084,913.5473914,
Element_30,regional_mix,tm_2_dummy,Walls,Wall,Generic - 5,Metal Studs with Insulation,Enclosure,0.0,05 - Metals,Steel,"Steel, C-stud metal framing with insulation",Metal,Cold formed structural steel,[C2-C4] End of Life,60,0.029040522,0.001469864,6.271896384,1.16e-12,0.575815744,107.7424748,100.6072116,7.09958692,
Element_31,regional_mix,tm_2_dummy,Walls,Wall,Generic - 5,Metal Studs with Insulation,Enclosure,0.0,05 - Metals,Steel,"Steel, C-stud metal framing with insulation",Insulation,"Cellulose insulation, boards",[C2-C4] End of Life,60,51.37622772,26.67905,7424.398486,1.23e-10,121.3515646,11494.85926,10747.84586,757.6850202,
Element_32,regional_mix,tm_2_dummy,Walls,Wall,Generic - 5,Gypsum Wall Board,Enclosure,0.0,09 - Finishes,Plaster and gypsum board,"Wall board, gypsum",Plaster,"Wall board, gypsum, natural",[C2-C4] End of Life,30,3.86846225,0.196281582,838.4844286,1.54e-10,76.79755108,14368.57407,13434.80732,947.1062752,
Element_33,regional_mix,tm_2_dummy,Walls,Wall,Generic - 5,Gypsum Wall Board,Enclosure,0.0,09 - Finishes,Plaster and gypsum board,"Wall board, gypsum",Coating,"Paint, interior acrylic latex",[C2-C4] End of Life,7,0.074360192,0.003772956,16.11747973,2.96e-12,1.476214622,276.1949936,258.2459822,18.20542597,
Element_0,100% landfill,tm_2_dummy,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[C2-C4] End of Life,60,0.067855962,0.00342606,14.63559976,2.7e-12,1.34381416,250.8009596,234.1695962,16.56483791,
Element_1,100% landfill,tm_2_dummy,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal Coating,"Powder coating, metal stock",[C2-C4] End of Life,60,0.049122486,0.002492422,10.64723837,1.96e-12,0.975190242,182.4549484,170.5977966,12.0265397,
Element_2,100% landfill,tm_2_dummy,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,23.79873641,08 - Openings and Glazing,Glass,"Glazing, double pane IGU",Glazing,"Glazing, double, insulated (air)",[C2-C4] End of Life,40,12.21100048,0.61957293,2646.719316,4.86e-10,242.4154282,45355.14462,42407.66176,2989.589772,
Element_3,100% landfill,tm_2_dummy,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[C2-C4] End of Life,60,209.9411388,10.64619545,92465.87862,8.34e-09,4175.87839,777814.711,727337.0602,51395.42634,
Element_4,100% landfill,tm_2_dummy,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,2.288985498,0.11595025,495.3214522,9.12e-11,45.40446646,8480.50365,7917.638364,559.1128512,
Element_5,100% landfill,tm_2_dummy,Floors,Floor,CLT,Wood - Stained,Superstructure,0.0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[C2-C4] End of Life,60,5743.575018,1493.844623,1493844.623,1.2e-08,19316.95634,816463.3546,767527.065,48549.95026,
Element_6,100% landfill,tm_2_dummy,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Roofing membrane,"PVC membrane, sheet",[C2-C4] End of Life,20,4.704363984,1.793750296,297.8302378,5.5e-11,39.46250652,5103.727258,4772.052676,336.4127914,
Element_7,100% landfill,tm_2_dummy,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[C2-C4] End of Life,20,0.068338234,0.02612284,4.335436194,7.98e-13,0.57315936,74.2167891,69.44046108,4.886550966,
Element_8,100% landfill,tm_2_dummy,Floors,Floor,CLT Roof,Insulation - Roof,Superstructure,0.0,07 - Thermal and Moisture Protection,Insulation,"Polyisocyanurate (PIR), board",Insulation,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",[C2-C4] End of Life,60,12.71026578,4.846360336,804.678697,1.48e-10,106.6199273,13789.26676,12893.1473,908.9211646,
Element_9,100% landfill,tm_2_dummy,Floors,Floor,CLT Roof,"Concrete, Lightweight",Superstructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[C2-C4] End of Life,60,52.4852847,2.661548862,23116.46966,2.08e-09,1043.969597,194453.6777,181834.265,12848.85658,
Element_10,100% landfill,tm_2_dummy,Floors,Floor,CLT Roof,"Concrete, Lightweight",Superstructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.572246376,0.028987564,123.830363,2.28e-11,11.35111661,2120.125912,1979.409591,139.7782128,
Element_11,100% landfill,tm_2_dummy,Floors,Floor,CLT Roof,Wood - Stained,Superstructure,0.0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[C2-C4] End of Life,60,1435.893754,373.4611558,373461.1558,3e-09,4829.239084,204115.8386,191881.7663,12137.48756,
Element_12,100% landfill,tm_2_dummy,Floors,Floor,SOG Floor,"Concrete, Cast-in-Place gray",Substructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,96.96781834,4.91727516,42708.23038,3.88e-09,1928.758791,359257.8186,335943.1522,23738.56974,
Element_13,100% landfill,tm_2_dummy,Floors,Floor,SOG Floor,"Concrete, Cast-in-Place gray",Substructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,1.266217528,0.064141182,274.00117,5.04e-11,25.11677392,4691.232154,4379.867188,309.2891994,
Element_14,100% landfill,tm_2_dummy,Floors,Floor,SOG Floor Insulation,Rigid insulation,Substructure,0.0,07 - Thermal and Moisture Protection,Insulation,"Expanded polystyrene (EPS), board",Insulation,"Expanded polystyrene (EPS), board",[C2-C4] End of Life,60,0.3344061,0.127507362,21.17103372,3.9e-12,2.805161968,362.7945324,339.2176996,23.9136449,
Element_15,100% landfill,tm_2_dummy,Structural Columns,FamilyInstance,Glulam-Western Species-Column: 18x18,"Softwood, Lumber",Superstructure,77.95539377,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[C2-C4] End of Life,60,556.9537608,144.8579288,144857.9288,1.16e-09,1873.162872,79172.35074,74427.0048,4707.882688,
Element_16,100% landfill,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,48.26842512,2.447710302,21259.208,1.92e-09,960.0932646,178830.5586,167225.0357,11816.53249,
Element_17,100% landfill,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.464305672,0.023519746,100.4727024,1.85e-11,9.20999772,1720.21445,1606.040925,113.4123686,
Element_18,100% landfill,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 84 x 84 x 24,"Concrete, Cast-in-Place gray",Substructure,55.50101932,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,33.7878976,1.713397212,14881.4456,1.34e-09,672.0652854,125181.3911,117057.525,8271.572742,
Element_19,100% landfill,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 84 x 84 x 24,"Concrete, Cast-in-Place gray",Substructure,55.50101932,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.32501397,0.016463824,70.33089168,1.3e-11,6.446998404,1204.150115,1124.228648,79.38865804,
Element_20,100% landfill,tm_2_dummy,Structural Framing,FamilyInstance,Glulam-Southern Pine: 10.75x31.5,"Softwood, Lumber",Superstructure,495.8232367,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[C2-C4] End of Life,60,3542.418336,921.3464734,921346.4734,7.38e-09,11913.96302,503563.5036,473381.464,29943.76038,
Element_21,100% landfill,tm_2_dummy,Structural Framing,FamilyInstance,Glulam-Southern Pine: 14.25x33,"Softwood, Lumber",Superstructure,210.3742599,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[C2-C4] End of Life,60,1503.022813,390.9207316,390920.7316,3.16e-09,5055.00946,213658.3998,200852.3758,12704.92378,
Element_22,100% landfill,tm_2_dummy,Walls,Wall,Concrete - 16,"Concrete, Cast-in-Place gray",Enclosure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 6000 psi",Concrete,"Structural concrete, 6000 psi, Pacific Southwest regional average",[C2-C4] End of Life,60,179.3742668,9.096137682,79003.09236,7.14e-09,3567.88159,664566.9556,621438.7168,43912.38882,
Element_23,100% landfill,tm_2_dummy,Walls,Wall,Concrete - 16,"Concrete, Cast-in-Place gray",Enclosure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 6000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,14.17707185,0.718150032,3067.825384,5.64e-10,281.2173268,52524.88914,49038.72394,3462.924108,
Element_24,100% landfill,tm_2_dummy,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0.0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Aluminum, sheet",[C2-C4] End of Life,60,0.090202584,0.004554346,19.45545901,3.58e-12,1.786364874,333.3958204,311.287344,22.02004224,
Element_25,100% landfill,tm_2_dummy,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0.0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal Coating,"Powder coating, metal stock",[C2-C4] End of Life,60,0.445482366,0.022603294,96.5577541,1.78e-11,8.843812476,1654.648786,1547.11856,109.0663722,
Element_26,100% landfill,tm_2_dummy,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0.0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Insulation,Polyurethane foam (PUR) rigid board,[C2-C4] End of Life,60,4.767927366,1.817986692,301.8543942,5.56e-11,39.99570726,5172.686668,4836.530638,340.958259,
Element_27,100% landfill,tm_2_dummy,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0.0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Steel, sheet",[C2-C4] End of Life,60,0.074003778,0.003757408,15.98329022,2.94e-12,1.466724366,274.6531972,255.5800584,18.08133548,
Element_28,100% landfill,tm_2_dummy,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0.0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Fasteners, stainless steel",[C2-C4] End of Life,60,0.020153338,0.001020046,4.352526454,8.02e-13,0.399600552,74.77036342,69.81868372,4.926921298,
Element_29,100% landfill,tm_2_dummy,Walls,Wall,Generic - 5,Gypsum Sheathing,Enclosure,0.0,09 - Finishes,Plaster and gypsum board,Fiberglass mat gypsum sheathing,Plaster,Fiberglass mat gypsum sheathing board,[C2-C4] End of Life,60,11.19417226,0.56798017,2426.323052,4.48e-10,222.229134,41578.35412,38876.31252,2740.642174,
Element_30,100% landfill,tm_2_dummy,Walls,Wall,Generic - 5,Metal Studs with Insulation,Enclosure,0.0,05 - Metals,Steel,"Steel, C-stud metal framing with insulation",Metal,Cold formed structural steel,[C2-C4] End of Life,60,0.087121564,0.004409592,18.81568915,3.48e-12,1.72744723,323.2274244,301.8216348,21.29876076,
Element_31,100% landfill,tm_2_dummy,Walls,Wall,Generic - 5,Metal Studs with Insulation,Enclosure,0.0,05 - Metals,Steel,"Steel, C-stud metal framing with insulation",Insulation,"Cellulose insulation, boards",[C2-C4] End of Life,60,154.1286832,80.03715,22273.19546,3.7e-10,364.0546938,34484.57778,32243.53758,2273.05506,
Element_32,100% landfill,tm_2_dummy,Walls,Wall,Generic - 5,Gypsum Wall Board,Enclosure,0.0,09 - Finishes,Plaster and gypsum board,"Wall board, gypsum",Plaster,"Wall board, gypsum, natural",[C2-C4] End of Life,30,11.60538675,0.588844746,2515.453286,4.62e-10,230.3926532,43105.72222,40304.42196,2841.318826,
Element_33,100% landfill,tm_2_dummy,Walls,Wall,Generic - 5,Gypsum Wall Board,Enclosure,0.0,09 - Finishes,Plaster and gypsum board,"Wall board, gypsum",Coating,"Paint, interior acrylic latex",[C2-C4] End of Life,7,0.223080574,0.011318866,48.3524392,8.88e-12,4.428643864,828.5849808,774.7379464,54.61627792,
Element_1,100% inceration,tm_2_dummy,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal Coating,"Powder coating, metal stock",[C2-C4] End of Life,60,0.104794636,0.005317164,22.71410852,4.18e-12,2.08040585,389.2372232,363.941966,25.65661804,
Element_2,100% inceration,tm_2_dummy,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,23.79873641,08 - Openings and Glazing,Glass,"Glazing, double pane IGU",Glazing,"Glazing, double, insulated (air)",[C2-C4] End of Life,40,26.05013434,1.321755584,5646.334538,1.04e-09,517.1529134,96757.64186,90469.6784,6377.791512,
Element_3,100% inceration,tm_2_dummy,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[C2-C4] End of Life,60,447.8744294,22.71188364,197260.5411,1.78e-08,8908.540564,1659338.05,1551652.395,109643.5762,
Element_4,100% inceration,tm_2_dummy,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,4.883169062,0.247360532,1056.685764,1.95e-10,96.86286176,18091.74112,16890.96184,1192.774083,
Element_5,100% inceration,tm_2_dummy,Floors,Floor,CLT,Wood - Stained,Superstructure,0.0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[C2-C4] End of Life,60,12252.96004,3186.86853,3186868.53,2.56e-08,41209.50684,1741788.49,1637391.072,103573.2272,
Element_6,100% inceration,tm_2_dummy,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Roofing membrane,"PVC membrane, sheet",[C2-C4] End of Life,20,10.0359765,3.826667296,635.3711742,1.17e-10,84.18668058,10887.95148,10180.37904,717.6806214,
Element_7,100% inceration,tm_2_dummy,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[C2-C4] End of Life,20,0.14578823,0.055728724,9.248930548,1.7e-12,1.222739968,158.3291501,148.1396503,10.42464206,
Element_8,100% inceration,tm_2_dummy,Floors,Floor,CLT Roof,Insulation - Roof,Superstructure,0.0,07 - Thermal and Moisture Protection,Insulation,"Polyisocyanurate (PIR), board",Insulation,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",[C2-C4] End of Life,60,27.11523366,10.33890205,1716.647887,3.16e-10,227.455845,29417.10242,27505.38092,1939.031818,
Element_9,100% inceration,tm_2_dummy,Floors,Floor,CLT Roof,"Concrete, Lightweight",Superstructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[C2-C4] End of Life,60,111.9686074,5.677970906,49315.13526,4.46e-09,2227.135142,414834.5126,387913.0988,27410.89404,
Element_10,100% inceration,tm_2_dummy,Floors,Floor,CLT Roof,"Concrete, Lightweight",Superstructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,1.220792268,0.061840134,264.171441,4.86e-11,24.21571544,4522.93528,4222.74046,298.1935206,
Element_11,100% inceration,tm_2_dummy,Floors,Floor,CLT Roof,Wood - Stained,Superstructure,0.0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[C2-C4] End of Life,60,3063.240008,796.7171322,796717.1322,6.4e-09,10302.37671,435447.1224,409347.768,25893.3068,
Element_12,100% inceration,tm_2_dummy,Floors,Floor,SOG Floor,"Concrete, Cast-in-Place gray",Substructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,206.8646792,10.49018701,91110.89146,8.26e-09,4114.68542,766416.6796,716678.7244,50642.2821,
Element_13,100% inceration,tm_2_dummy,Floors,Floor,SOG Floor,"Concrete, Cast-in-Place gray",Substructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,2.701264058,0.136834522,584.5358294,1.08e-10,53.58245102,10007.96193,9343.716666,659.8169588,
Element_14,100% inceration,tm_2_dummy,Floors,Floor,SOG Floor Insulation,Rigid insulation,Substructure,0.0,07 - Thermal and Moisture Protection,Insulation,"Expanded polystyrene (EPS), board",Insulation,"Expanded polystyrene (EPS), board",[C2-C4] End of Life,60,0.71339968,0.272015706,45.16487194,8.32e-12,5.98434553,773.9616692,723.6644256,51.0157758,
Element_15,100% inceration,tm_2_dummy,Structural Columns,FamilyInstance,Glulam-Western Species-Column: 18x18,"Softwood, Lumber",Superstructure,77.95539377,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[C2-C4] End of Life,60,1188.168023,309.0302482,309030.2482,2.48e-09,3996.080794,168901.0149,158777.6102,10043.48307,
Element_16,100% inceration,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,102.9726403,5.221781978,45352.97708,4.1e-09,2048.198964,381505.1918,356746.7428,25208.60264,
Element_17,100% inceration,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.990518764,0.050175456,214.3417652,3.94e-11,19.64799514,3669.790826,3426.22064,241.9463864,
Element_18,100% inceration,tm_2_dummy,Structural Foundations,FamilyInstance,Footing-Rectangular: 84 x 84 x 24,"Concrete, Cast-in-Place gray",Substructure,55.50101932,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,72.0808482,3.655247386,31747.08396,2.86e-09,1433.739276,267053.6342,249722.72,17646.02185,
